report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,基于展示次数的 3 秒视频播放率,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-08-26,20260730_GrowMe_EN_9x16_FX-EnglishLearners_ZT-pic1_RS-P1X1R3C3_cty,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,697,3.271162,2.28,,,,,,,,3.012912,0.0,,,22.0,,,,
2025-12-01,2026-08-26,20260730_GrowMe_EN_9x16_FX-SelfGrowth_ZT-pic6_RS-P1X1R3C3_cty,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,423,5.981087,2.53,,,,,,,,1.654846,0.0,,,7.0,,,,
2025-12-01,2026-08-26,20260730_GrowMe_EN_9x16_FX-SelfGrowth_ZT-pic2_RS-P1X1R3C3_cty,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,158,3.481013,0.55,,,,,,,,1.898734,0.0,,,3.0,,,,
2025-12-01,2026-08-26,20260730_GrowMe_EN_9x16_FX-EnglishLearners_ZT-pic3_RS-P1X1R3C3_cty,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,1597,8.74139,13.96,,,,,,,,1.127113,0.0,,,24.0,,,,
2025-12-01,2026-08-26,20260730_GrowMe_EN_9x16_FX-SelfGrowth_ZT-pic5_RS-P1X1R3C3_cty,inactive,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,7193,5.449743,39.2,2.0,19.6,,,,,,1.292924,0.02380952,,,139.0,,,,
2025-12-01,2026-08-26,20260731_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Discipline_RS-P1X1R3C3_cty,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,863,3.325608,2.87,,,,,,,,0.695249,0.0,13.093859,,123.0,,3.0,,
2025-12-01,2026-08-26,20260731_GrowMe_EN_9x16_FX-Overthinkers_ZT-EmotionalHealth_RS-P1X1R3C3_cty,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,370,3.378378,1.25,,,,,,,,1.351351,0.0,15.945946,,73.0,,4.0,,
2025-12-01,2026-08-26,20260731_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset2_RS-P1X1R3C3_cty,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,8328,2.239433,18.65,3.0,6.216667,,,,,,0.588377,0.13636364,14.637368,,1301.0,,63.0,,
2025-12-01,2026-08-26,20260731_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Habits_RS-P1X1R3C3_cty,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,65,6.461538,0.42,,,,,,,,1.538462,0.0,23.076923,,17.0,,5.0,,
2025-12-01,2026-08-26,20260731_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset_RS-P1X1R3C3_cty,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,15154,2.632308,39.89,3.0,13.296667,1.0,39.89,,,,0.402534,0.07894737,13.712551,,2187.0,,106.0,,
